target,candidate,roc_auc,pr_auc,selected_champion,selection_rationale,source_experiment,source_artifact,source_sha256
spine_positioning,Current baseline,0.8266666666666667,0.5443065210195299,NO,,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_positioning,RAD-DINO frozen linear probe,0.5680000000000001,0.1740079365079365,NO,,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_positioning,BiomedCLIP frozen linear probe,0.992,0.925,YES,Highest development ROC-AUC and PR-AUC; current+Biomed fusion was lower on both point estimates.,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_positioning,Current + BiomedCLIP 50/50,0.9653333333333333,0.7958333333333334,NO,,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_axis,Current deterministic axis magnitude,0.859375,0.3814867424242424,YES,Deterministic |axis_angle_deg| ranking substantially outperformed RAD-DINO and BiomedCLIP on development OOF.,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_axis,RAD-DINO frozen linear probe,0.5503472222222222,0.13176362976617906,NO,,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_axis,BiomedCLIP frozen linear probe,0.4097222222222222,0.09762247987266257,NO,,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_artifact,Current baseline,0.7012987012987013,0.2903082985271815,NO,,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_artifact,RAD-DINO frozen linear probe,0.8484848484848484,0.6909185332497466,YES,"Standalone RAD-DINO retained: current+RAD produced only a very small ROC increase while lowering PR-AUC, and the paired bootstrap did not show a stable fusion advantage.",challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
spine_artifact,BiomedCLIP frozen linear probe,0.6839826839826839,0.310035177716423,NO,,challenger-c7-05c-three-model-audit-v1,three-model-comparison-v1.csv,c26cbddf16966676f639b4e943ca7975b982d6420ff81ba7899c00479a34b633
